N   s1         s2         diff       
376 0.30619073 0.30618930 0.00000143 
377 0.30619252 0.30619106 0.00000146 
378 0.30619425 0.30619282 0.00000143 
379 0.30619603 0.30619454 0.00000149 
380 0.30619776 0.30619627 0.00000149 
381 0.30619949 0.30619800 0.00000149 
382 0.30620122 0.30619970 0.00000152 
383 0.30620289 0.30620140 0.00000149 
384 0.30620456 0.30620310 0.00000146 
385 0.30620629 0.30620480 0.00000149 
386 0.30620795 0.30620646 0.00000149 
387 0.30620962 0.30620813 0.00000149 
388 0.30621129 0.30620980 0.00000149 
389 0.30621296 0.30621144 0.00000152 
390 0.30621457 0.30621308 0.00000149 
391 0.30621618 0.30621472 0.00000146 
392 0.30621785 0.30621636 0.00000149 
393 0.30621946 0.30621797 0.00000149 
394 0.30622107 0.30621958 0.00000149 
395 0.30622268 0.30622119 0.00000149 
396 0.30622423 0.30622277 0.00000146 
397 0.30622584 0.30622435 0.00000149 
398 0.30622745 0.30622593 0.00000152 
399 0.30622900 0.30622751 0.00000149 
400 0.30623060 0.30622905 0.00000155 
401 0.30623215 0.30623060 0.00000155 
402 0.30623370 0.30623215 0.00000155 
403 0.30623519 0.30623370 0.00000149 
404 0.30623674 0.30623522 0.00000152 
405 0.30623829 0.30623674 0.00000155 
406 0.30623984 0.30623826 0.00000158 
407 0.30624133 0.30623978 0.00000155 
408 0.30624282 0.30624127 0.00000155 
409 0.30624431 0.30624276 0.00000155 
410 0.30624580 0.30624425 0.00000155 
411 0.30624729 0.30624574 0.00000155 
412 0.30624878 0.30624720 0.00000158 
413 0.30625021 0.30624866 0.00000155 
414 0.30625165 0.30625013 0.00000152 
415 0.30625314 0.30625159 0.00000155 
416 0.30625457 0.30625302 0.00000155 
417 0.30625606 0.30625445 0.00000161 
418 0.30625749 0.30625588 0.00000161 
419 0.30625892 0.30625731 0.00000161 
420 0.30626035 0.30625871 0.00000164 
421 0.30626172 0.30626011 0.00000161 
422 0.30626309 0.30626151 0.00000158 
423 0.30626446 0.30626291 0.00000155 
424 0.30626583 0.30626431 0.00000152 
425 0.30626720 0.30626568 0.00000152 
426 0.30626863 0.30626705 0.00000158 
427 0.30627000 0.30626842 0.00000158 
428 0.30627137 0.30626979 0.00000158 
429 0.30627275 0.30627117 0.00000158 
430 0.30627406 0.30627251 0.00000155 
431 0.30627537 0.30627385 0.00000152 
432 0.30627668 0.30627519 0.00000149 
433 0.30627799 0.30627653 0.00000146 
434 0.30627936 0.30627784 0.00000152 
435 0.30628067 0.30627915 0.00000152 
436 0.30628198 0.30628046 0.00000152 
437 0.30628330 0.30628178 0.00000152 
